sde,sdevice,svisual,
sde,sdevice,svisual,
,seed,,Vth,OffCurrent,OnCurrent,OnOffRatio,
,1,,0.347201,1.43342e-11,3.40946e-05,2.37854e+06,
,2,,0.349553,1.93024e-11,3.40217e-05,1.76256e+06,
,3,,0.345786,1.61259e-11,3.41601e-05,2.11834e+06,
,4,,0.351721,1.45885e-11,3.39724e-05,2.32871e+06,
,5,,0.345795,1.50503e-11,3.41046e-05,2.26604e+06,
,6,,0.344353,1.60480e-11,3.41021e-05,2.12500e+06,
,7,,0.349112,1.43348e-11,3.39421e-05,2.36781e+06,
,8,,0.350988,1.25126e-11,3.39524e-05,2.71346e+06,
,9,,0.335632,2.12046e-11,3.42633e-05,1.61584e+06,
,10,,0.343244,1.98967e-11,3.41716e-05,1.71745e+06,
,11,,0.346333,1.53106e-11,3.40430e-05,2.22349e+06,
,12,,0.345820,1.78052e-11,3.40969e-05,1.91499e+06,
,13,,0.346403,1.80512e-11,3.41104e-05,1.88965e+06,
,14,,0.362975,1.11356e-11,3.37806e-05,3.03357e+06,
,15,,0.344725,1.70413e-11,3.40401e-05,1.99750e+06,
,16,,0.346414,1.79524e-11,3.40331e-05,1.89574e+06,
,17,,0.348332,1.61645e-11,3.40194e-05,2.10457e+06,
,18,,0.344405,1.66119e-11,3.40020e-05,2.04684e+06,
,19,,0.342950,1.83474e-11,3.41864e-05,1.86328e+06,
,20,,0.346939,1.34627e-11,3.40404e-05,2.52849e+06,
,21,,0.349842,1.38054e-11,3.39100e-05,2.45628e+06,
,22,,0.349719,1.28676e-11,3.39078e-05,2.63513e+06,
,23,,0.352109,1.34881e-11,3.39103e-05,2.51409e+06,
,24,,0.352607,1.32345e-11,3.39721e-05,2.56694e+06,
,25,,0.341538,1.98370e-11,3.41420e-05,1.72113e+06,
,26,,0.349569,1.37282e-11,3.39797e-05,2.47518e+06,
,27,,0.352630,1.34780e-11,3.40287e-05,2.52476e+06,
,28,,0.345444,1.80599e-11,3.41756e-05,1.89235e+06,
,29,,0.352075,1.16784e-11,3.39640e-05,2.90829e+06,
,30,,0.355989,1.28712e-11,3.39367e-05,2.63664e+06,
,31,,0.345672,1.79844e-11,3.40335e-05,1.89239e+06,
,32,,0.348629,1.67962e-11,3.39956e-05,2.02400e+06,
,33,,0.355269,1.07096e-11,3.38970e-05,3.16509e+06,
,34,,0.346847,1.66905e-11,3.41315e-05,2.04497e+06,
,35,,0.340150,2.08216e-11,3.40685e-05,1.63621e+06,
,36,,0.352621,1.35423e-11,3.39183e-05,2.50462e+06,
,37,,0.349326,1.41238e-11,3.39260e-05,2.40204e+06,
,38,,0.337172,1.97276e-11,3.40602e-05,1.72653e+06,
,39,,0.347124,1.66939e-11,3.40597e-05,2.04025e+06,
,40,,0.350188,1.48041e-11,3.40047e-05,2.29698e+06,
,41,,0.350196,1.37422e-11,3.39897e-05,2.47339e+06,
,42,,0.352950,1.24485e-11,3.39633e-05,2.72831e+06,
,43,,0.344582,1.50002e-11,3.40094e-05,2.26725e+06,
,44,,0.347654,1.61648e-11,3.40371e-05,2.10563e+06,
,45,,0.359599,1.13519e-11,3.39390e-05,2.98972e+06,
,46,,0.345241,1.50461e-11,3.40240e-05,2.26131e+06,
,47,,0.336446,2.05952e-11,3.41786e-05,1.65954e+06,
,48,,0.359360,1.18011e-11,3.38616e-05,2.86936e+06,
,49,,0.346155,1.38665e-11,3.40890e-05,2.45838e+06,
,50,,0.349007,1.82646e-11,3.41058e-05,1.86732e+06,
,51,,0.358468,1.09614e-11,3.39857e-05,3.10048e+06,
,52,,0.349659,1.32498e-11,3.39543e-05,2.56263e+06,
,53,,0.345670,1.32823e-11,3.39565e-05,2.55653e+06,
,54,,0.355399,1.12192e-11,3.39108e-05,3.02256e+06,
,55,,0.349185,1.57004e-11,3.39510e-05,2.16243e+06,
,56,,0.350341,1.52083e-11,3.39725e-05,2.23381e+06,
,57,,0.349313,1.49484e-11,3.40329e-05,2.27670e+06,
,58,,0.349053,1.35963e-11,3.38840e-05,2.49215e+06,
,59,,0.346681,1.39480e-11,3.39156e-05,2.43157e+06,
,60,,0.345503,1.61395e-11,3.39908e-05,2.10607e+06,
,61,,0.347794,1.61559e-11,3.40279e-05,2.10622e+06,
,62,,0.353506,1.24214e-11,3.39590e-05,2.73391e+06,
,63,,0.351956,1.47027e-11,3.37981e-05,2.29877e+06,
,64,,0.352377,1.50215e-11,3.39366e-05,2.25920e+06,
,65,,0.347572,1.59716e-11,3.39943e-05,2.12841e+06,
,66,,0.344474,1.57840e-11,3.39994e-05,2.15404e+06,
,67,,0.348756,1.47669e-11,3.40197e-05,2.30378e+06,
,68,,0.336155,2.30496e-11,3.40674e-05,1.47801e+06,
,69,,0.352981,1.51303e-11,3.39173e-05,2.24168e+06,
,70,,0.345852,1.73314e-11,3.40879e-05,1.96683e+06,
,71,,0.342664,1.73785e-11,3.41690e-05,1.96617e+06,
,72,,0.350919,1.79482e-11,3.39669e-05,1.89250e+06,
,73,,0.348774,1.66729e-11,3.40660e-05,2.04320e+06,
,74,,0.342303,1.75080e-11,3.41565e-05,1.95090e+06,
,75,,0.348271,1.31330e-11,3.39604e-05,2.58588e+06,
,76,,0.350209,1.29495e-11,3.39535e-05,2.62199e+06,
,77,,0.352650,1.38919e-11,3.39618e-05,2.44472e+06,
,78,,0.352924,1.11787e-11,3.39145e-05,3.03386e+06,
,79,,0.350478,1.29017e-11,3.39929e-05,2.63475e+06,
,80,,0.349284,1.25406e-11,3.39468e-05,2.70696e+06,
,81,,0.341174,1.80605e-11,3.41045e-05,1.88834e+06,
,82,,0.351981,1.27747e-11,3.40153e-05,2.66271e+06,
,83,,0.350873,1.33991e-11,3.39496e-05,2.53372e+06,
,84,,0.345435,1.90648e-11,3.40240e-05,1.78465e+06,
,85,,0.351361,1.34792e-11,3.39246e-05,2.51682e+06,
,86,,0.356620,1.36868e-11,3.38615e-05,2.47402e+06,
,87,,0.341485,2.07557e-11,3.41811e-05,1.64683e+06,
,88,,0.355868,1.14058e-11,3.38582e-05,2.96852e+06,
,89,,0.351418,1.33229e-11,3.39903e-05,2.55127e+06,
,90,,0.362647,1.00116e-11,3.38506e-05,3.38114e+06,
,91,,0.352521,1.58477e-11,3.38884e-05,2.13838e+06,
,92,,0.362649,9.60736e-12,3.38641e-05,3.52481e+06,
,93,,0.351559,1.59617e-11,3.39114e-05,2.12455e+06,
,94,,0.345650,1.45869e-11,3.39520e-05,2.32757e+06,
,95,,0.361286,1.18605e-11,3.38440e-05,2.85351e+06,
,96,,0.344935,2.21816e-11,3.40266e-05,1.53400e+06,
,97,,0.347726,1.44831e-11,3.40560e-05,2.35144e+06,
,98,,0.344659,1.72557e-11,3.40799e-05,1.97500e+06,
,99,,0.362926,1.09318e-11,3.38940e-05,3.10048e+06,
,100,,0.345931,1.56010e-11,3.39825e-05,2.17822e+06,
,101,,0.341391,1.88752e-11,3.40237e-05,1.80257e+06,
,102,,0.343867,1.89083e-11,3.40940e-05,1.80312e+06,
,103,,0.356783,9.61590e-12,3.39383e-05,3.52940e+06,
,104,,0.354050,1.28589e-11,3.39294e-05,2.63860e+06,
,105,,0.354162,1.33441e-11,3.40060e-05,2.54840e+06,
,106,,0.362705,8.79030e-12,3.37460e-05,3.83901e+06,
,107,,0.352601,1.17715e-11,3.39213e-05,2.88165e+06,
,108,,0.345870,1.55598e-11,3.41129e-05,2.19238e+06,
,109,,0.354526,1.24809e-11,3.39345e-05,2.71892e+06,
,110,,0.353345,1.33822e-11,3.39371e-05,2.53599e+06,
,111,,0.346723,1.54241e-11,3.40292e-05,2.20624e+06,
