sde,sdevice,svisual,
sde,sdevice,svisual,
,seed,,Vth,OffCurrent,OnCurrent,OnOffRatio,
,1,,0.397757,8.32840e-13,2.39166e-05,2.87170e+07,
,2,,0.383401,1.31797e-12,2.39722e-05,1.81887e+07,
,3,,0.385284,1.38108e-12,2.37961e-05,1.72301e+07,
,4,,0.392774,9.10492e-13,2.39584e-05,2.63137e+07,
,5,,0.378300,1.59971e-12,2.40381e-05,1.50265e+07,
,6,,0.383907,1.24791e-12,2.38664e-05,1.91250e+07,
,7,,0.391581,1.02497e-12,2.37591e-05,2.31802e+07,
,8,,0.390026,9.43603e-13,2.37136e-05,2.51309e+07,
,9,,0.392536,8.95479e-13,2.39188e-05,2.67106e+07,
,10,,0.384722,1.44833e-12,2.37360e-05,1.63885e+07,
,11,,0.386784,1.19338e-12,2.38489e-05,1.99843e+07,
,12,,0.384712,1.58401e-12,2.40020e-05,1.51527e+07,
,13,,0.384659,1.44516e-12,2.38326e-05,1.64913e+07,
,14,,0.382427,1.60403e-12,2.37594e-05,1.48123e+07,
,15,,0.396408,9.67630e-13,2.37941e-05,2.45900e+07,
,16,,0.388282,1.26735e-12,2.39996e-05,1.89368e+07,
,17,,0.394440,9.76070e-13,2.38781e-05,2.44635e+07,
,18,,0.393525,1.35588e-12,2.36349e-05,1.74314e+07,
,19,,0.382062,1.30914e-12,2.41091e-05,1.84160e+07,
,20,,0.381068,1.82424e-12,2.38286e-05,1.30622e+07,
,21,,0.377724,1.82985e-12,2.39603e-05,1.30942e+07,
,22,,0.384932,1.48746e-12,2.39634e-05,1.61103e+07,
,23,,0.387157,1.26339e-12,2.38170e-05,1.88517e+07,
,24,,0.379858,1.50159e-12,2.39806e-05,1.59701e+07,
,25,,0.385275,1.49426e-12,2.38428e-05,1.59563e+07,
,26,,0.393490,9.86534e-13,2.37062e-05,2.40298e+07,
,27,,0.392249,1.11661e-12,2.37990e-05,2.13137e+07,
,28,,0.369614,2.36194e-12,2.40417e-05,1.01788e+07,
,29,,0.400207,8.73723e-13,2.38742e-05,2.73246e+07,
,30,,0.389744,1.06662e-12,2.38557e-05,2.23657e+07,
,31,,0.400448,7.39459e-13,2.36016e-05,3.19174e+07,
,32,,0.374923,1.86078e-12,2.41010e-05,1.29521e+07,
,33,,0.375058,2.01450e-12,2.39897e-05,1.19085e+07,
,34,,0.395525,1.12310e-12,2.37247e-05,2.11244e+07,
,35,,0.386512,1.25319e-12,2.37490e-05,1.89508e+07,
,36,,0.376998,1.64483e-12,2.38653e-05,1.45093e+07,
,37,,0.392458,9.86959e-13,2.37750e-05,2.40891e+07,
,38,,0.387592,1.22621e-12,2.38762e-05,1.94716e+07,
,39,,0.390745,9.39591e-13,2.37082e-05,2.52325e+07,
,40,,0.385365,1.20137e-12,2.39257e-05,1.99153e+07,
,41,,0.383003,1.33124e-12,2.38331e-05,1.79030e+07,
,42,,0.401341,7.69111e-13,2.36540e-05,3.07549e+07,
,43,,0.379557,1.88943e-12,2.38130e-05,1.26033e+07,
,44,,0.386665,1.20892e-12,2.37673e-05,1.96599e+07,
,45,,0.398506,7.62617e-13,2.38431e-05,3.12648e+07,
,46,,0.385197,1.45591e-12,2.37275e-05,1.62974e+07,
,47,,0.383104,1.24942e-12,2.39119e-05,1.91385e+07,
,48,,0.387283,1.35824e-12,2.38830e-05,1.75837e+07,
,49,,0.397422,8.79177e-13,2.35355e-05,2.67699e+07,
,50,,0.384777,1.30712e-12,2.37902e-05,1.82005e+07,
,51,,0.404634,7.00436e-13,2.36776e-05,3.38041e+07,
,52,,0.387534,1.38392e-12,2.38277e-05,1.72175e+07,
,53,,0.384470,1.36739e-12,2.39635e-05,1.75250e+07,
,54,,0.383319,1.44096e-12,2.40219e-05,1.66708e+07,
,55,,0.376963,1.46837e-12,2.40215e-05,1.63593e+07,
,56,,0.396722,8.08512e-13,2.39733e-05,2.96511e+07,
,57,,0.385483,1.22822e-12,2.40336e-05,1.95678e+07,
,58,,0.395276,8.38899e-13,2.37997e-05,2.83701e+07,
,59,,0.396415,7.78395e-13,2.37113e-05,3.04618e+07,
,60,,0.393076,1.05309e-12,2.38681e-05,2.26648e+07,
,61,,0.399681,7.55256e-13,2.37808e-05,3.14870e+07,
,62,,0.393998,9.10912e-13,2.37985e-05,2.61260e+07,
,63,,0.393221,9.99009e-13,2.38018e-05,2.38254e+07,
,64,,0.388447,1.16618e-12,2.38711e-05,2.04695e+07,
,65,,0.382871,1.25561e-12,2.39999e-05,1.91141e+07,
,66,,0.386563,1.39806e-12,2.39982e-05,1.71654e+07,
,67,,0.377695,1.74879e-12,2.39602e-05,1.37010e+07,
,68,,0.384445,1.36465e-12,2.40522e-05,1.76252e+07,
,69,,0.375947,1.78139e-12,2.40007e-05,1.34731e+07,
,70,,0.390073,1.19877e-12,2.36700e-05,1.97452e+07,
,71,,0.386558,1.18684e-12,2.39707e-05,2.01971e+07,
,72,,0.395887,1.05508e-12,2.37874e-05,2.25457e+07,
,73,,0.394099,8.85231e-13,2.39753e-05,2.70837e+07,
,74,,0.377446,1.76079e-12,2.38987e-05,1.35727e+07,
,75,,0.374818,1.91690e-12,2.38695e-05,1.24521e+07,
,76,,0.386661,1.34575e-12,2.38056e-05,1.76895e+07,
,77,,0.388135,1.43141e-12,2.39719e-05,1.67471e+07,
,78,,0.392005,1.00565e-12,2.38949e-05,2.37607e+07,
,79,,0.387964,1.24665e-12,2.38274e-05,1.91132e+07,
,80,,0.393772,8.96792e-13,2.38928e-05,2.66425e+07,
,81,,0.396877,6.86616e-13,2.37306e-05,3.45617e+07,
,82,,0.384264,1.40597e-12,2.37071e-05,1.68617e+07,
,83,,0.398640,8.01910e-13,2.39290e-05,2.98400e+07,
,84,,0.377780,1.80924e-12,2.40302e-05,1.32820e+07,
,85,,0.386346,1.22976e-12,2.39514e-05,1.94764e+07,
,86,,0.392161,9.98063e-13,2.37387e-05,2.37847e+07,
,87,,0.377021,1.76382e-12,2.40126e-05,1.36140e+07,
,88,,0.388366,1.13334e-12,2.37688e-05,2.09724e+07,
,89,,0.380907,1.41291e-12,2.39989e-05,1.69855e+07,
,90,,0.382126,1.47143e-12,2.39118e-05,1.62507e+07,
,91,,0.389194,1.02349e-12,2.38279e-05,2.32809e+07,
,92,,0.397524,7.66103e-13,2.36169e-05,3.08272e+07,
,93,,0.387804,1.41400e-12,2.37794e-05,1.68171e+07,
,94,,0.392868,9.37559e-13,2.36447e-05,2.52194e+07,
,95,,0.390326,1.11548e-12,2.36730e-05,2.12222e+07,
,96,,0.387252,1.18529e-12,2.38809e-05,2.01477e+07,
,97,,0.408580,5.58008e-13,2.35636e-05,4.22280e+07,
,98,,0.396616,9.16832e-13,2.36622e-05,2.58086e+07,
,99,,0.382281,1.42109e-12,2.40174e-05,1.69008e+07,
,100,,0.386692,1.32475e-12,2.37174e-05,1.79033e+07,
,101,,0.381980,1.50454e-12,2.39562e-05,1.59227e+07,
,102,,0.393321,9.26255e-13,2.36012e-05,2.54803e+07,
,103,,0.389250,1.08830e-12,2.38045e-05,2.18731e+07,
,104,,0.393146,8.60069e-13,2.37873e-05,2.76574e+07,
,105,,0.381390,1.60727e-12,2.39993e-05,1.49317e+07,
,106,,0.388082,1.18977e-12,2.39056e-05,2.00927e+07,
,107,,0.393982,9.98989e-13,2.39700e-05,2.39942e+07,
,108,,0.402408,6.36119e-13,2.37206e-05,3.72896e+07,
,109,,0.393373,1.25639e-12,2.39063e-05,1.90278e+07,
,110,,0.397535,7.47252e-13,2.36315e-05,3.16245e+07,
,111,,0.402929,6.56583e-13,2.35187e-05,3.58199e+07,
,112,,0.397450,9.35383e-13,2.36099e-05,2.52408e+07,
,113,,0.394216,9.18090e-13,2.35256e-05,2.56245e+07,
,114,,0.377510,1.67387e-12,2.36773e-05,1.41452e+07,
,115,,0.399042,7.47786e-13,2.38943e-05,3.19535e+07,
,116,,0.390293,1.12654e-12,2.37567e-05,2.10881e+07,
,117,,0.387142,1.40085e-12,2.38114e-05,1.69978e+07,
,118,,0.386855,1.17632e-12,2.40084e-05,2.04099e+07,
,119,,0.379354,1.88610e-12,2.37581e-05,1.25964e+07,
,120,,0.393183,9.97116e-13,2.38598e-05,2.39288e+07,
,121,,0.373529,2.13022e-12,2.39655e-05,1.12503e+07,
,122,,0.396719,9.32318e-13,2.38131e-05,2.55418e+07,
,123,,0.387510,1.25022e-12,2.37467e-05,1.89940e+07,
,124,,0.376556,2.00310e-12,2.39470e-05,1.19550e+07,
,125,,0.403404,7.06118e-13,2.37149e-05,3.35848e+07,
,126,,0.374788,1.89066e-12,2.39655e-05,1.26758e+07,
,127,,0.379916,1.50611e-12,2.39505e-05,1.59022e+07,
,128,,0.390613,1.11553e-12,2.36517e-05,2.12022e+07,
,129,,0.389592,1.03912e-12,2.36817e-05,2.27901e+07,
,130,,0.385154,1.45042e-12,2.40336e-05,1.65701e+07,
,131,,0.380449,1.57902e-12,2.39782e-05,1.51855e+07,
,132,,0.380877,1.52197e-12,2.40214e-05,1.57831e+07,
,133,,0.388784,1.59832e-12,2.37374e-05,1.48515e+07,
,134,,0.390708,9.69256e-13,2.37806e-05,2.45349e+07,
,135,,0.377716,1.88522e-12,2.39417e-05,1.26996e+07,
,136,,0.395600,7.35644e-13,2.37532e-05,3.22890e+07,
,137,,0.397361,9.12538e-13,2.36704e-05,2.59391e+07,
,138,,0.386322,1.18929e-12,2.38456e-05,2.00502e+07,
,139,,0.391950,1.22010e-12,2.38006e-05,1.95071e+07,
,140,,0.384734,1.37457e-12,2.39665e-05,1.74357e+07,
,141,,0.395216,1.06604e-12,2.38093e-05,2.23343e+07,
,142,,0.381901,1.59035e-12,2.39472e-05,1.50578e+07,
,143,,0.384365,1.29330e-12,2.38178e-05,1.84163e+07,
,144,,0.385755,1.33821e-12,2.39216e-05,1.78758e+07,
,145,,0.396569,9.45927e-13,2.35761e-05,2.49238e+07,
,146,,0.379464,1.55812e-12,2.38382e-05,1.52994e+07,
,147,,0.388456,1.06788e-12,2.39983e-05,2.24729e+07,
,148,,0.384433,1.29932e-12,2.40359e-05,1.84988e+07,
,149,,0.392474,9.93003e-13,2.40099e-05,2.41790e+07,
,150,,0.392332,9.55136e-13,2.37130e-05,2.48268e+07,
,151,,0.386413,1.26188e-12,2.37582e-05,1.88276e+07,
,152,,0.383871,1.45394e-12,2.39058e-05,1.64421e+07,
,153,,0.386969,1.45618e-12,2.38253e-05,1.63615e+07,
,154,,0.390364,1.11592e-12,2.40178e-05,2.15229e+07,
,155,,0.395094,9.36969e-13,2.36893e-05,2.52829e+07,
,156,,0.397607,8.10373e-13,2.37732e-05,2.93362e+07,
,157,,0.384960,1.16049e-12,2.39769e-05,2.06610e+07,
,158,,0.385812,1.29636e-12,2.39342e-05,1.84626e+07,
,159,,0.390153,1.03988e-12,2.38774e-05,2.29617e+07,
,160,,0.393364,9.09375e-13,2.37190e-05,2.60828e+07,
,161,,0.385900,1.27225e-12,2.38407e-05,1.87390e+07,
,162,,0.396381,7.89060e-13,2.36709e-05,2.99988e+07,
,163,,0.400713,7.97734e-13,2.36354e-05,2.96281e+07,
,164,,0.382885,1.34570e-12,2.38019e-05,1.76874e+07,
,165,,0.390014,1.18157e-12,2.39195e-05,2.02439e+07,
,166,,0.390158,1.24178e-12,2.39833e-05,1.93137e+07,
,167,,0.395207,8.86431e-13,2.37949e-05,2.68435e+07,
,168,,0.381170,1.51541e-12,2.38879e-05,1.57634e+07,
,169,,0.385729,1.32294e-12,2.39303e-05,1.80887e+07,
,170,,0.395304,9.97686e-13,2.37448e-05,2.37999e+07,
,171,,0.383082,1.60279e-12,2.38811e-05,1.48997e+07,
,172,,0.387613,1.20862e-12,2.38607e-05,1.97421e+07,
,173,,0.386793,1.35298e-12,2.38650e-05,1.76388e+07,
,174,,0.395551,8.88603e-13,2.36376e-05,2.66008e+07,
,175,,0.382639,1.51307e-12,2.37860e-05,1.57203e+07,
,176,,0.378357,1.60158e-12,2.39041e-05,1.49254e+07,
,177,,0.397093,7.70423e-13,2.38399e-05,3.09439e+07,
