seed,Vth,OffCurrent,OnCurrent,OnOffRatio,Weff
103,0.38925,1.0883e-12,2.38045e-05,21873100.0,40
104,0.393146,8.60069e-13,2.37873e-05,27657400.0,40
105,0.38139,1.60727e-12,2.39993e-05,14931700.0,40
106,0.388082,1.18977e-12,2.39056e-05,20092700.0,40
107,0.393982,9.98989e-13,2.397e-05,23994200.0,40
108,0.402408,6.36119e-13,2.37206e-05,37289600.0,40
109,0.393373,1.25639e-12,2.39063e-05,19027800.0,40
110,0.397535,7.47252e-13,2.36315e-05,31624500.0,40
111,0.402929,6.56583e-13,2.35187e-05,35819900.0,40
112,0.39745,9.35383e-13,2.36099e-05,25240800.0,40
113,0.394216,9.1809e-13,2.35256e-05,25624500.0,40
114,0.37751,1.67387e-12,2.36773e-05,14145200.0,40
115,0.399042,7.47786e-13,2.38943e-05,31953500.0,40
116,0.390293,1.12654e-12,2.37567e-05,21088100.0,40
117,0.387142,1.40085e-12,2.38114e-05,16997800.0,40
118,0.386855,1.17632e-12,2.40084e-05,20409900.0,40
119,0.379354,1.8861e-12,2.37581e-05,12596400.0,40
120,0.393183,9.97116e-13,2.38598e-05,23928800.0,40
121,0.373529,2.13022e-12,2.39655e-05,11250300.0,40
122,0.396719,9.32318e-13,2.38131e-05,25541800.0,40
123,0.38751,1.25022e-12,2.37467e-05,18994000.0,40
124,0.376556,2.0031e-12,2.3947e-05,11955000.0,40
125,0.403404,7.06118e-13,2.37149e-05,33584800.0,40
126,0.374788,1.89066e-12,2.39655e-05,12675800.0,40
127,0.379916,1.50611e-12,2.39505e-05,15902200.0,40
128,0.390613,1.11553e-12,2.36517e-05,21202200.0,40
129,0.389592,1.03912e-12,2.36817e-05,22790100.0,40
130,0.385154,1.45042e-12,2.40336e-05,16570100.0,40
131,0.380449,1.57902e-12,2.39782e-05,15185500.0,40
132,0.380877,1.52197e-12,2.40214e-05,15783100.0,40
133,0.388784,1.59832e-12,2.37374e-05,14851500.0,40
134,0.390708,9.69256e-13,2.37806e-05,24534900.0,40
135,0.377716,1.88522e-12,2.39417e-05,12699600.0,40
136,0.3956,7.35644e-13,2.37532e-05,32289000.0,40
137,0.397361,9.12538e-13,2.36704e-05,25939100.0,40
138,0.386322,1.18929e-12,2.38456e-05,20050200.0,40
139,0.39195,1.2201e-12,2.38006e-05,19507100.0,40
140,0.384734,1.37457e-12,2.39665e-05,17435700.0,40
141,0.395216,1.06604e-12,2.38093e-05,22334300.0,40
142,0.381901,1.59035e-12,2.39472e-05,15057800.0,40
143,0.384365,1.2933e-12,2.38178e-05,18416300.0,40
144,0.385755,1.33821e-12,2.39216e-05,17875800.0,40
145,0.396569,9.45927e-13,2.35761e-05,24923800.0,40
146,0.379464,1.55812e-12,2.38382e-05,15299400.0,40
147,0.388456,1.06788e-12,2.39983e-05,22472900.0,40
148,0.384433,1.29932e-12,2.40359e-05,18498800.0,40
149,0.392474,9.93003e-13,2.40099e-05,24179000.0,40
150,0.392332,9.55136e-13,2.3713e-05,24826800.0,40
151,0.386413,1.26188e-12,2.37582e-05,18827600.0,40
152,0.383871,1.45394e-12,2.39058e-05,16442100.0,40
153,0.386969,1.45618e-12,2.38253e-05,16361500.0,40
154,0.390364,1.11592e-12,2.40178e-05,21522900.0,40
155,0.395094,9.36969e-13,2.36893e-05,25282900.0,40
156,0.397607,8.10373e-13,2.37732e-05,29336200.0,40
157,0.38496,1.16049e-12,2.39769e-05,20661000.0,40
158,0.385812,1.29636e-12,2.39342e-05,18462600.0,40
159,0.390153,1.03988e-12,2.38774e-05,22961700.0,40
160,0.393364,9.09375e-13,2.3719e-05,26082800.0,40
161,0.3859,1.27225e-12,2.38407e-05,18739000.0,40
162,0.396381,7.8906e-13,2.36709e-05,29998800.0,40
163,0.400713,7.97734e-13,2.36354e-05,29628100.0,40
164,0.382885,1.3457e-12,2.38019e-05,17687400.0,40
165,0.390014,1.18157e-12,2.39195e-05,20243900.0,40
166,0.390158,1.24178e-12,2.39833e-05,19313700.0,40
167,0.395207,8.86431e-13,2.37949e-05,26843500.0,40
168,0.38117,1.51541e-12,2.38879e-05,15763400.0,40
169,0.385729,1.32294e-12,2.39303e-05,18088700.0,40
170,0.395304,9.97686e-13,2.37448e-05,23799900.0,40
171,0.383082,1.60279e-12,2.38811e-05,14899700.0,40
172,0.387613,1.20862e-12,2.38607e-05,19742100.0,40
173,0.386793,1.35298e-12,2.3865e-05,17638800.0,40
174,0.395551,8.88603e-13,2.36376e-05,26600800.0,40
175,0.382639,1.51307e-12,2.3786e-05,15720300.0,40
176,0.378357,1.60158e-12,2.39041e-05,14925400.0,40
177,0.397093,7.70423e-13,2.38399e-05,30943900.0,40
178,0.384422,1.48484e-12,2.41375e-05,16256000.0,40
179,0.377161,1.70945e-12,2.39826e-05,14029500.0,40
180,0.395794,8.23027e-13,2.37195e-05,28819800.0,40
181,0.384525,1.20721e-12,2.37525e-05,19675600.0,40
182,0.386029,1.43898e-12,2.38848e-05,16598500.0,40
183,0.383996,1.49295e-12,2.38723e-05,15990000.0,40
184,0.391289,1.00149e-12,2.38855e-05,23849900.0,40
185,0.381642,1.50245e-12,2.39112e-05,15914800.0,40
186,0.388392,1.15238e-12,2.38338e-05,20682100.0,40
187,0.403915,8.14826e-13,2.35555e-05,28908600.0,40
188,0.384242,1.45135e-12,2.39682e-05,16514500.0,40
189,0.388426,1.10923e-12,2.38507e-05,21502000.0,40
190,0.396202,7.90215e-13,2.38973e-05,30241500.0,40
191,0.401429,8.60028e-13,2.36273e-05,27472700.0,40
192,0.376153,1.71577e-12,2.40356e-05,14008600.0,40
193,0.38545,1.29281e-12,2.39909e-05,18557300.0,40
194,0.387534,1.12571e-12,2.37301e-05,21080100.0,40
195,0.384003,1.36332e-12,2.37217e-05,17399900.0,40
196,0.381108,1.61523e-12,2.40042e-05,14861100.0,40
197,0.382048,1.49068e-12,2.39108e-05,16040200.0,40
198,0.38862,1.2173e-12,2.39637e-05,19686000.0,40
199,0.392304,9.89574e-13,2.37943e-05,24045000.0,40
200,0.394752,9.60876e-13,2.36356e-05,24598000.0,40
1,0.367293,5.03849e-12,3.4043e-05,6.75660e+06,52
2,0.35743,7.63289e-12,3.43262e-05,4.49714e+06,52
3,0.355284,8.02487e-12,3.42508e-05,4.26808e+06,52
4,0.369482,4.64316e-12,3.40726e-05,7.33822e+06,52
5,0.360453,5.71317e-12,3.42162e-05,5.98900e+06,52
6,0.366574,5.89403e-12,3.40176e-05,5.77152e+06,52
7,0.364608,5.36403e-12,3.40673e-05,6.35108e+06,52
8,0.363769,6.34153e-12,3.41541e-05,5.38578e+06,52
9,0.361525,6.31962e-12,3.40978e-05,5.39554e+06,52
