sde,sdevice,svisual,
sde,sdevice,svisual,
,seed,,Vth,OffCurrent,OnCurrent,OnOffRatio,
,191,,0.369191,5.01534e-12,3.40145e-05,6.78209e+06,
,192,,0.369044,4.83578e-12,3.42284e-05,7.07815e+06,
,193,,0.372256,4.64077e-12,3.39959e-05,7.32550e+06,
,194,,0.358623,6.86593e-12,3.42328e-05,4.98590e+06,
,195,,0.349053,9.28562e-12,3.41144e-05,3.67390e+06,
,196,,0.359001,6.26435e-12,3.41304e-05,5.44834e+06,
,197,,0.367223,5.34406e-12,3.41363e-05,6.38772e+06,
,198,,0.354326,7.11607e-12,3.43336e-05,4.82479e+06,
,199,,0.368331,4.80331e-12,3.39843e-05,7.07517e+06,
,200,,0.192516,5.72914e-12,--,--,
