sde,sdevice,svisual,
sde,sdevice,svisual,
,seed,,Vth,OffCurrent,OnCurrent,OnOffRatio,
,1,,0.361247,7.53861e-12,3.77668e-05,5.00978e+06,
,2,,0.352537,1.03458e-11,3.79770e-05,3.67077e+06,
,3,,0.357318,9.74255e-12,3.78732e-05,3.88740e+06,
,4,,0.368995,6.32562e-12,3.76889e-05,5.95814e+06,
,5,,0.358181,8.04293e-12,3.78585e-05,4.70705e+06,
,6,,0.365989,7.63883e-12,3.76586e-05,4.92989e+06,
,7,,0.358428,8.06729e-12,3.77253e-05,4.67632e+06,
,8,,0.360315,8.84504e-12,3.78669e-05,4.28115e+06,
,9,,0.355656,9.03970e-12,3.78400e-05,4.18598e+06,
,10,,0.355732,9.60437e-12,3.78526e-05,3.94119e+06,
,11,,0.354888,9.28871e-12,3.76564e-05,4.05400e+06,
,12,,0.360604,8.60738e-12,3.77470e-05,4.38542e+06,
,13,,0.356056,8.49863e-12,3.77143e-05,4.43770e+06,
,14,,0.360063,8.06394e-12,3.76377e-05,4.66741e+06,
,15,,0.366058,6.87838e-12,3.76025e-05,5.46677e+06,
,16,,0.362241,6.72448e-12,3.76380e-05,5.59717e+06,
,17,,0.364269,7.18627e-12,3.77229e-05,5.24929e+06,
,18,,0.370954,6.63401e-12,3.75745e-05,5.66392e+06,
,19,,0.358207,8.36891e-12,3.79475e-05,4.53434e+06,
,20,,0.358021,1.03574e-11,3.78430e-05,3.65373e+06,
,21,,0.359605,8.85863e-12,3.78637e-05,4.27421e+06,
,22,,0.359306,8.01425e-12,3.76830e-05,4.70200e+06,
,23,,0.359258,8.36310e-12,3.77961e-05,4.51939e+06,
,24,,0.355564,9.71481e-12,3.80428e-05,3.91596e+06,
,25,,0.362951,8.20567e-12,3.78083e-05,4.60758e+06,
,26,,0.360719,7.60477e-12,3.76993e-05,4.95733e+06,
,27,,0.358551,8.81596e-12,3.76714e-05,4.27309e+06,
,28,,0.352992,1.17434e-11,3.78569e-05,3.22367e+06,
,29,,0.360744,8.12860e-12,3.77667e-05,4.64615e+06,
,30,,0.364573,6.22655e-12,3.75794e-05,6.03536e+06,
,31,,0.359350,8.43683e-12,3.76663e-05,4.46451e+06,
,32,,0.357493,7.84077e-12,3.77778e-05,4.81812e+06,
,33,,0.348024,1.27694e-11,3.78615e-05,2.96502e+06,
,34,,0.362920,7.09160e-12,3.76870e-05,5.31431e+06,
,35,,0.352388,1.05568e-11,3.78320e-05,3.58366e+06,
,36,,0.351400,1.00397e-11,3.79405e-05,3.77907e+06,
,37,,0.355194,1.02140e-11,3.78333e-05,3.70405e+06,
,38,,0.362799,8.38713e-12,3.77996e-05,4.50686e+06,
,39,,0.365733,5.98299e-12,3.76935e-05,6.30011e+06,
,40,,0.357998,8.35781e-12,3.78407e-05,4.52759e+06,
,41,,0.362298,9.05600e-12,3.77616e-05,4.16979e+06,
,42,,0.364202,6.47363e-12,3.75716e-05,5.80379e+06,
,43,,0.350299,1.13824e-11,3.79374e-05,3.33300e+06,
,44,,0.359416,8.12556e-12,3.76469e-05,4.63315e+06,
,45,,0.368361,7.48550e-12,3.77002e-05,5.03643e+06,
,46,,0.353229,1.12393e-11,3.78998e-05,3.37207e+06,
,47,,0.361595,7.76567e-12,3.77378e-05,4.85956e+06,
,48,,0.352647,1.03693e-11,3.77501e-05,3.64056e+06,
,49,,0.362562,7.45229e-12,3.75195e-05,5.03463e+06,
,50,,0.354476,9.03362e-12,3.79406e-05,4.19993e+06,
,51,,0.373707,5.79085e-12,3.75722e-05,6.48820e+06,
,52,,0.355457,1.12100e-11,3.78146e-05,3.37329e+06,
,53,,0.360364,8.35097e-12,3.78983e-05,4.53819e+06,
,54,,0.355489,9.63340e-12,3.78540e-05,3.92945e+06,
,55,,0.355788,9.36272e-12,3.78510e-05,4.04273e+06,
